"ID ACTIVO","NUMERO ETIQUETA",ESTADO,"VALOR UNITARIO","FECHA ADQUISICION",CATEGORIA,"DESCRIPCION CATEGORIA",MARCA,PLACAS,"NÚMERO MOTOR",SERIE,MODELO,COLOR,"DESCRIPCION BIEN","ID DEPENDENCIA",DEPENDENCIA
14999,201571127,ALTA,181359.99,12/30/14,549,OTROS EQUIPOS DE TRANSPORTE,KAWACENTER,M-536,KL650AEAA8623,JKAKLEE15EDA72422,2014,,KAWASAKI KLR 650,3101,COORDINACION ADMINISTRATIVA
14739,201368288,ALTA,166866,11/11/00,549,OTROS EQUIPOS DE TRANSPORTE,KAWASAKI,M-508,MOTOR KL650AEAA6696,JKAKLEE10EDA70495,2014,,MOTOPATRULLA  KRL605,3101,COORDINACION ADMINISTRATIVA
14943,201470377,ALTA,416867,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,CHEVROLET,POL2969,HECHO EN MEXICO,3GCPC9EC2EG445078,2014,,PICK UP CREW CAB,3101,COORDINACION ADMINISTRATIVA
14952,201571122,ALTA,181359.99,12/30/14,549,OTROS EQUIPOS DE TRANSPORTE,KAWACENTER,POL534,KL650AEAA9751,JKAKLEE18EDA73550,2014,,KAWASAKI KLR 650,3101,COORDINACION ADMINISTRATIVA
14988,201571044,ALTA,391650,12/30/14,541,VEHICULOS Y EQUIPO TERRESTRE,CHRYSLER,POL3033,HECHO EN MEXICO,3C6SRADT3FG549924,2015,,PICK UP  DODGE RAM 2500 CREW,3101,COORDINACION ADMINISTRATIVA
14991,201571125,ALTA,181359.99,12/30/14,549,OTROS EQUIPOS DE TRANSPORTE,KAWACENTER,M-530,KL650AEAA9908,JKAKLEE14EDA73707,2014,,KAWASAKI KLR 650,3101,COORDINACION ADMINISTRATIVA
29908,201468440,ALTA,435600,1/7/14,541,VEHICULOS Y EQUIPO TERRESTRE,FORD,POL2707,MOTOR DKD33463,1FTFW1EF7DKD33463,2013,,F-150,3101,COORDINACION ADMINISTRATIVA
29909,201468446,ALTA,435600,1/7/14,541,VEHICULOS Y EQUIPO TERRESTRE,FORD,POL2715,MOTOR DKD33460,1FTFW1EF1DKD33460,2013,,F-150,3101,COORDINACION ADMINISTRATIVA
29912,201468437,ALTA,435600,1/7/14,541,VEHICULOS Y EQUIPO TERRESTRE,FORD,POL2706,MOTOR DKD33453,1FTFW1EF4DKD33453,2013,,F-150,3101,COORDINACION ADMINISTRATIVA
26133,201368226,ALTA,166866,10/22/13,549,OTROS EQUIPOS DE TRANSPORTE,KAWASAKI,M-509,MOTOR KL650AEAA6680,JKAKLEE12EDA70479,2014,,MOTOPATRULLA  KRL605,3101,COORDINACION ADMINISTRATIVA
22384,201468667,ALTA,442000,1/24/14,541,VEHICULOS Y EQUIPO TERRESTRE,FORD,,DG203061,1FAHP2L85DG203061,2013,,POLICE INTERCEPTOR,3101,COORDINACION ADMINISTRATIVA
18508,201468431,ALTA,402200,1/7/14,541,VEHICULOS Y EQUIPO TERRESTRE,DODGE,POL2725,MOTOR HECHO EN USA,2C3CDXAG7EH121055,2014,,CHARGER  SEDAN,3101,COORDINACION ADMINISTRATIVA
18509,201468430,ALTA,402200,1/7/14,541,VEHICULOS Y EQUIPO TERRESTRE,DODGE,POL2719,MOTOR HECHO EN USA,2C3CDXAG6EH121046,2014,,CHARGER  SEDAN,3101,COORDINACION ADMINISTRATIVA
18510,201468444,ALTA,435600,1/7/14,541,VEHICULOS Y EQUIPO TERRESTRE,FORD,POL2714,MOTOR DKD33447,1FTFW1EF9DKD33447,2103,,F-150,3101,COORDINACION ADMINISTRATIVA
18589,201470069,ALTA,167899.98,8/6/14,549,OTROS EQUIPOS DE TRANSPORTE,KAWACENTER DE SINALOA SA DE CV,POL-,KL650AEAA8586,JKAKLEE13EDA72385,2014,C/BLANCO/AZUL,KAWASAKI KLR 650,3101,COORDINACION ADMINISTRATIVA
18623,201470339,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2994,2ZRL137216,5YFBURHE2EP082067,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
18623,201470339,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2994,2ZRL137216,5YFBURHE2EP082067,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
18624,201470344,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2991,2ZRL206096,5YFBURHE2EP115813,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
18624,201470344,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2991,2ZRL206096,5YFBURHE2EP115813,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
18642,201470341,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2992,2ZRL235764,5YFBURHE2EP128710,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
18642,201470341,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2992,2ZRL235764,5YFBURHE2EP128710,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
18644,201470355,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2988,2ZRL240493,5YFBURHE0EP131105,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
18644,201470355,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2988,2ZRL240493,5YFBURHE0EP131105,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
18646,201470360,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2987,2ZRL239588,5YFBURHE5EP130256,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
18646,201470360,ALTA,351979,9/15/14,541,VEHICULOS Y EQUIPO TERRESTRE,TOYOTA,POL2987,2ZRL239588,5YFBURHE5EP130256,2014,,SEDAN COROLLA,3112,SUBDIRECCION OPERATIVA
