ID_COL,ID_COLSECC,ID_SECT,NUM_LUM,ID_LUM,ID_LUMIN,TIPO_LUM,CAP_LUM,SERV,NUM_MED,CAPA,X_LON,Y_LAT
253,25300,12,25,12253167,12253000025,VSA,150,MED,9U663L,150,-107.42410342800,24.84708623060
253,25300,12,26,12253168,12253000026,VSA,150,MED,9U663L,150,-107.42415548400,24.84691678330
253,25300,12,27,12253169,12253000027,VSA,150,MED,9U663L,150,-107.42449369300,24.84688578930
253,25300,12,28,12253170,12253000028,VSA,150,MED,9U663L,150,-107.42442552100,24.84710769570
253,25300,12,29,12253171,12253000029,VSA,150,MED,9U663L,150,-107.42388366600,24.84703001920
253,25300,12,30,12253172,12253000030,VSA,150,MED,9U663L,150,-107.42368440700,24.84697905180
253,25300,12,31,12253173,12253000031,VSA,150,MED,9U663L,150,-107.42410567700,24.84658167690
253,25300,12,32,12253174,12253000032,VSA,150,MED,9U663L,150,-107.42382374500,24.84644080850
253,25300,12,33,12253175,12253000033,VSA,70,MED,F5F585,70,-107.42299873700,24.84680366600
253,25300,12,34,12253176,12253000034,VSA,70,MED,F5F585,70,-107.42288107000,24.84665172560
253,25300,12,35,12253177,12253000035,VSA,70,DIR,,70,-107.42296783300,24.84636931360
253,25300,12,36,12253178,12253000036,VSA,70,DIR,,70,-107.42318581200,24.84672967630
253,25300,12,37,12253179,12253000037,VSA,70,MED,F5F585,70,-107.42257971700,24.84669648400
253,25300,12,38,12253180,12253000038,VSA,70,MED,F5F585,70,-107.42253146100,24.84631861340
253,25300,12,39,12253181,12253000039,VSA,70,MED,F5F585,70,-107.42342904000,24.84624359050
253,25300,12,40,12253182,12253000040,VSA,70,MED,F5F585,70,-107.42309072500,24.84607454550
253,25300,12,41,12253183,12253000041,VSA,70,MED,F5F585,70,-107.42316672800,24.84594789680
253,25300,12,42,12253184,12253000042,VSA,70,MED,F5F585,70,-107.42261361400,24.84583614690
253,25300,12,43,12253185,12253000043,VSA,70,DIR,,70,-107.42175898600,24.84659901320
253,25300,12,44,12253186,12253000044,VSA,70,MED,F5F585,70,-107.42192774400,24.84641142270
253,25300,12,45,12253187,12253000045,VSA,70,MED,F5F585,70,-107.42192955600,24.84599382410
253,25300,12,46,12253188,12253000046,VSA,70,MED,F5F585,70,-107.42176074300,24.84568705740
253,25300,12,47,12253189,12253000047,VSA,70,MED,F5F585,70,-107.42205774800,24.84598826840
253,25300,12,48,12253190,12253000048,VSA,70,MED,F5F585,70,-107.42204123400,24.84575094150
253,25300,12,49,12253191,12253000049,VSA,100,MED,F5F585,100,-107.42195241400,24.84578504250
253,25300,12,50,12253192,12253000050,VSA,70,MED,F5F585,70,-107.42227529800,24.84566710000
253,25300,12,51,12253193,12253000051,VSA,70,MED,F5F585,70,-107.42193698500,24.84549805220
253,25300,12,52,12253194,12253000052,VSA,70,MED,F5F585,70,-107.42165505800,24.84535717830
253,25300,12,53,12253195,12253000053,VSA,70,DIR,,70,-107.42149407800,24.84632869360
253,25300,12,54,12253196,12253000054,VSA,70,DIR,,70,-107.42132099200,24.84601415920
253,25300,12,55,12253197,12253000055,VSA,70,DIR,,70,-107.42114790600,24.84569962540
253,25300,12,56,12253198,12253000056,VSA,70,DIR,,70,-107.42107451200,24.84532491540
253,25300,12,57,12253199,12253000057,VSA,70,MED,2X40M0,70,-107.42115354800,24.84635343720
253,25300,12,58,12253200,12253000058,VSA,70,MED,2X40M0,70,-107.42089392000,24.84588163670
253,25300,12,59,12253201,12253000059,VSA,70,DIR,,70,-107.42116286300,24.84511123610
253,25300,12,60,12253202,12253000060,VSA,70,DIR,,70,-107.42708395900,24.84647968020
253,25300,12,61,12253203,12253000061,VSA,70,DIR,,70,-107.42708406200,24.84645002450
253,25300,12,62,12253204,12253000062,VSA,70,DIR,,70,-107.42659231900,24.84648401820
253,25300,12,63,12253205,12253000063,VSA,70,DIR,,70,-107.42659188700,24.84645237100
253,25300,12,64,12253206,12253000064,VSA,70,MED,2X40M0,70,-107.42583471800,24.84646657790
253,25300,12,65,12253207,12253000065,VSA,70,MED,2X40M0,70,-107.42585011700,24.84649979260
253,25300,12,66,12253208,12253000066,VSA,70,MED,2X40M0,70,-107.42564434300,24.84650222770
253,25300,12,67,12253209,12253000067,VSA,70,MED,2X40M0,70,-107.42564360100,24.84647004670
253,25300,12,68,12253210,12253000068,VSA,70,MED,2X40M0,70,-107.42541149400,24.84650322850
253,25300,12,69,12253211,12253000069,VSA,70,MED,2X40M0,70,-107.42541149400,24.84650322850
253,25300,12,70,12253212,12253000070,VSA,70,MED,2X40M0,70,-107.42541684700,24.84647416260
253,25300,12,71,12253213,12253000071,VSA,70,MED,2X40M0,70,-107.42518477100,24.84646622560
253,25300,12,72,12253214,12253000072,VSA,70,MED,2X40M0,70,-107.42518947000,24.84649221550
253,25300,12,73,12253215,12253000073,VSA,70,MED,2X40M0,70,-107.42498489400,24.84643221270
253,25300,12,74,12253216,12253000074,VSA,70,MED,2X40M0,70,-107.42497729100,24.84645867770
253,25300,12,75,12253217,12253000075,VSA,70,MED,2X40M0,70,-107.42480407500,24.84639800570
253,25300,12,76,12253218,12253000076,VSA,70,MED,2X40M0,70,-107.42480140400,24.84641336710
253,25300,12,77,12253219,12253000077,VSA,70,MED,2X40M0,70,-107.42445342800,24.84624173470
253,25300,12,78,12253220,12253000078,VSA,70,MED,2X40M0,70,-107.42445741900,24.84622777520
253,25300,12,79,12253221,12253000079,VSA,70,MED,2X40M0,70,-107.42415763200,24.84611049160
253,25300,12,80,12253222,12253000080,VSA,70,MED,2X40M0,70,-107.42416029000,24.84608137030
253,25300,12,81,12253223,12253000081,VSA,70,MED,2X40M0,70,-107.42384317500,24.84595419760
253,25300,12,82,12253224,12253000082,VSA,70,MED,2X40M0,70,-107.42383838700,24.84592275830
253,25300,12,83,12253225,12253000083,VSA,70,MED,2X40M0,70,-107.42358857400,24.84582878350
253,25300,12,84,12253226,12253000084,VSA,70,MED,2X40M0,70,-107.42359045600,24.84580059360
253,25300,12,85,12253227,12253000085,VSA,70,MED,2X40M0,70,-107.42331947400,24.84569520360
253,25300,12,86,12253228,12253000086,VSA,70,MED,2X40M0,70,-107.42332568100,24.84568766730
253,25300,12,87,12253229,12253000087,VSA,150,MED,6TH106,150,-107.42304503200,24.84554252970
253,25300,12,88,12253230,12253000088,VSA,150,MED,6TH106,150,-107.42305631000,24.84553133950
253,25300,12,89,12253231,12253000089,VSA,150,MED,6TH106,150,-107.42281504100,24.84543757400
253,25300,12,90,12253232,12253000090,VSA,150,MED,6TH106,150,-107.42283507400,24.84542274240
253,25300,12,91,12253233,12253000091,VSA,150,MED,6TH106,150,-107.42255077400,24.84530284200
253,25300,12,92,12253234,12253000092,VSA,150,MED,6TH106,150,-107.42258043300,24.84529790200
253,25300,12,93,12253235,12253000093,VSA,150,MED,6TH106,150,-107.42223123700,24.84514538650
253,25300,12,94,12253236,12253000094,VSA,150,MED,6TH106,150,-107.42225134500,24.84513174070
253,25300,12,95,12253237,12253000095,VSA,150,MED,6TH106,150,-107.42199364500,24.84501400900
253,25300,12,96,12253238,12253000096,VSA,150,MED,6TH106,150,-107.42198705100,24.84502581730
253,25300,12,97,12253239,12253000097,VSA,150,MED,6TH106,150,-107.42146935000,24.84475000370
253,25300,12,98,12253240,12253000098,VSA,150,MED,6TH106,150,-107.42148043100,24.84473583100
253,25300,12,99,12253241,12253000099,VSA,150,MED,6TH106,150,-107.42119409000,24.84463296240
253,25300,12,100,12253242,12253000100,VSA,150,MED,6TH106,150,-107.42121028800,24.84460262410
253,25300,12,101,12253243,12253000101,VSA,150,MED,6TH106,150,-107.42094734300,24.84453258060
253,25300,12,102,12253244,12253000102,VSA,150,MED,6TH106,150,-107.42095979500,24.84449955650
253,25300,12,103,12253245,12253000103,VSA,150,MED,6TH106,150,-107.42067874600,24.84447389000
253,25300,12,104,12253246,12253000104,VSA,150,MED,6TH106,150,-107.42068222700,24.84444785490
253,25300,12,105,12253247,12253000105,VSA,70,MED,L70PE8,70,-107.42713055500,24.84606714050
253,25300,12,106,12253248,12253000106,VSA,70,MED,L70PE8,70,-107.42631685600,24.84607969950
253,25300,12,107,12253249,12253000107,VSA,70,MED,L70PE8,70,-107.42694555200,24.84561334180
253,25300,12,108,12253250,12253000108,VSA,70,MED,L70PE8,70,-107.42652853800,24.84549984620
253,25300,12,109,12253251,12253000109,VSA,70,MED,L70PE8,70,-107.42644597300,24.84575243730
253,25300,12,110,12253252,12253000110,VSA,70,MED,L70PE8,70,-107.42470038200,24.84591165990
253,25300,12,111,12253253,12253000111,VSA,70,MED,L70PE8,70,-107.42511536500,24.84606616900
253,25300,12,112,12253254,12253000112,VSA,70,MED,L70PE8,70,-107.42556323100,24.84609132730
253,25300,12,113,12253255,12253000113,VSA,70,MED,L70PE8,70,-107.42588461800,24.84608637000
253,25300,12,114,12253256,12253000114,VSA,70,MED,L70PE8,70,-107.42564287000,24.84580971850
253,25300,12,115,12253257,12253000115,VSA,70,MED,L70PE8,70,-107.42573474500,24.84552865650
253,25300,12,116,12253258,12253000116,VSA,70,MED,L70PE8,70,-107.42609315100,24.84544256300
253,25300,12,117,12253259,12253000117,VSA,70,MED,L70PE8,70,-107.42598290200,24.84577983800
253,25300,12,118,12253260,12253000118,VSA,70,MED,L70PE8,70,-107.42519825300,24.84578066620
253,25300,12,119,12253261,12253000119,VSA,70,MED,L70PE8,70,-107.42529935900,24.84547137010
253,25300,12,120,12253262,12253000120,VSA,70,MED,L70PE8,70,-107.42569451400,24.84527285310
253,25300,12,121,12253263,12253000121,VSA,70,MED,L70PE8,70,-107.42480884500,24.84558271960
253,25300,12,122,12253264,12253000122,VSA,70,MED,L70PE8,70,-107.42495584800,24.84513302080
253,25300,12,123,12253265,12253000123,VSA,70,MED,F5F585,70,-107.42435508300,24.84558164310
253,25300,12,124,12253266,12253000124,VSA,70,MED,F5F585,70,-107.42444696000,24.84530058170
253,25300,12,125,12253267,12253000125,VSA,70,MED,F5F585,70,-107.42453883700,24.84501952020
253,25300,12,126,12253268,12253000126,VSA,70,MED,F5F585,70,-107.42396489200,24.84538609510
253,25300,12,127,12253269,12253000127,VSA,70,MED,F5F585,70,-107.42402994900,24.84518707970
253,25300,12,128,12253270,12253000128,VSA,70,MED,F5F585,70,-107.42412182800,24.84490601760
253,25300,12,129,12253271,12253000129,VSA,70,DIR,,70,-107.42357685300,24.84518396990
253,25300,12,130,12253272,12253000130,VSA,70,MED,F5F585,70,-107.42364969200,24.84496115140
253,25300,12,131,12253273,12253000131,VSA,70,MED,F5F585,70,-107.42370481900,24.84479251460
253,25300,12,132,12253274,12253000132,VSA,70,DIR,,70,-107.42319593100,24.84496007120
253,25300,12,133,12253275,12253000133,VSA,70,DIR,,70,-107.42325105900,24.84479143450
253,25300,12,134,12253276,12253000134,VSA,70,MED,F5F585,70,-107.42330618700,24.84462279780
253,25300,12,135,12253277,12253000135,VSA,70,MED,F5F585,70,-107.42278411100,24.84483069760
253,25300,12,136,12253278,12253000136,VSA,70,MED,F5F585,70,-107.42288281900,24.84452874910
253,25300,12,137,12253279,12253000137,VSA,150,MED,6TH106,150,-107.42228730200,24.84458245290
253,25300,12,138,12253280,12253000138,VSA,150,MED,6TH106,150,-107.42238247600,24.84429132010
253,25300,12,139,12253281,12253000139,VSA,150,MED,6TH106,150,-107.42189695200,24.84438740080
253,25300,12,140,12253282,12253000140,VSA,150,MED,6TH106,150,-107.42161306300,24.84424554490
253,25300,12,141,12253283,12253000141,VSA,150,DIR,,150,-107.42168057100,24.84403904690
253,25300,12,142,12253284,12253000142,VSA,150,DIR,,150,-107.42198384600,24.84412159960
253,25300,12,143,12253285,12253000143,VSA,150,DIR,,150,-107.42121851400,24.84406336150
253,25300,12,144,12253286,12253000144,VSA,150,DIR,,150,-107.42110651400,24.84402709990
253,25300,12,145,12253287,12253000145,VSA,150,DIR,,150,-107.42079682000,24.84396419170
253,25300,12,146,12253288,12253000146,VSA,150,DIR,,150,-107.42071644300,24.84421003570
253,25300,12,147,12253289,12253000147,VSA,150,MED,6TH106,150,-107.41997215400,24.84420654340
253,25300,12,148,12253290,12253000148,VSA,150,MED,6TH106,150,-107.41977831400,24.84385427570
253,25300,12,149,12253291,12253000149,VSA,150,MED,6TH106,150,-107.42053954500,24.84375670360
253,25300,12,150,12253292,12253000150,VSA,150,MED,6TH106,150,-107.42016992900,24.84365608940
253,25300,12,151,12253293,12253000151,VSA,150,MED,6TH106,150,-107.41973871100,24.84353870360
253,25301,12,1,12253294,12253010001,VSA,70,DIR,,70,-107.42015635000,24.84513677930
253,25301,12,2,12253295,12253010002,VSA,70,DIR,,70,-107.42035801800,24.84550385670
253,25301,12,3,12253296,12253010003,VSA,70,DIR,,70,-107.42053087700,24.84581849440
253,25301,12,4,12253297,12253010004,VSA,70,DIR,,70,-107.42073254600,24.84618557100
253,25301,12,5,12253298,12253010005,VSA,70,MED,3HV007,70,-107.42029321300,24.84622281120
253,25301,12,6,12253299,12253010006,VSA,70,MED,3HV007,70,-107.41998380600,24.84603097270
253,25301,12,7,12253300,12253010007,VSA,70,MED,3HV007,70,-107.41966252300,24.84576837220
253,25301,12,8,12253301,12253010008,VSA,70,MED,3HV007,70,-107.41946085700,24.84540129390
253,25301,12,9,12253302,12253010009,VSA,70,MED,3HV007,70,-107.41957044400,24.84524280670
253,25301,12,10,12253303,12253010010,VSA,70,MED,3HV007,70,-107.41980140300,24.84537675530
253,25301,12,11,12253304,12253010011,VSA,70,MED,3HV007,70,-107.41997426000,24.84569139290
253,25301,12,12,12253305,12253010012,VSA,70,MED,3HV007,70,-107.42011830900,24.84595359190
253,25301,12,13,12253306,12253010013,VSA,70,MED,3HV007,70,-107.41931917500,24.84586052400
253,25301,12,14,12253307,12253010014,VSA,70,MED,3HV007,70,-107.41939809400,24.84573728940
253,25301,12,15,12253308,12253010015,VSA,70,MED,3HV007,70,-107.41927460400,24.84569928730
253,25301,12,16,12253309,12253010016,VSA,70,MED,3HV007,70,-107.41930670800,24.84554675890
253,25301,12,17,12253310,12253010017,VSA,70,MED,3HV007,70,-107.41905543900,24.84590537620
253,25301,12,18,12253311,12253010018,VSA,70,MED,3HV007,70,-107.41916170600,24.84539360890
253,25301,12,19,12253312,12253010019,VSA,70,MED,3HV007,70,-107.41909212900,24.84561949690
253,25301,12,20,12253313,12253010020,VSA,70,MED,3HV007,70,-107.41876016400,24.84522969540
253,25301,12,21,12253314,12253010021,VSA,70,MED,3HV007,70,-107.41868122400,24.84548598110
253,25301,12,22,12253315,12253010022,VSA,70,MED,3HV007,70,-107.41862100900,24.84568147010
253,25301,12,23,12253316,12253010023,VSA,70,MED,3HV007,70,-107.41862221900,24.84579427150
253,25301,12,24,12253317,12253010024,VSA,70,MED,3HV007,70,-107.41818900000,24.84568316720
253,25301,12,25,12253318,12253010025,VSA,70,MED,3HV007,70,-107.41793218100,24.84538294360
253,25301,12,26,12253319,12253010026,VSA,70,MED,3HV007,70,-107.41805377400,24.84498819060
253,25301,12,27,12253320,12253010027,VSA,70,MED,3HV007,70,-107.41820942200,24.84501652250
253,25301,12,28,12253321,12253010028,VSA,70,MED,3HV007,70,-107.41835741200,24.84506971490
